reductor tty7         :0               Tue Aug 24 10:03    gone - no logout
reboot   system boot  5.4.0-80-generic Tue Aug 24 10:01   still running
reductor pts/0        10.91.234.200    Tue Aug 24 00:57 - 03:09  (02:12)
reductor pts/0        10.91.234.200    Fri Aug 20 07:37 - 10:32  (02:55)
reductor pts/0        10.91.234.200    Wed Aug 18 06:18 - 00:12  (17:53)
reductor pts/1        10.90.1.236      Mon Aug 16 14:06 - 14:06  (00:00)
reductor tty7         :0               Mon Aug 16 10:02 - 10:00 (7+23:58)
reboot   system boot  5.4.0-80-generic Mon Aug 16 10:00 - 10:01 (8+00:00)
reductor pts/1        10.91.234.200    Thu Aug 12 10:02 - 15:36 (1+05:33)
reductor pts/1        10.91.234.200    Wed Aug 11 19:32 - 21:52  (02:20)
reductor pts/1        10.91.234.200    Wed Aug 11 10:05 - 19:17  (09:12)
reductor pts/1        10.91.234.200    Tue Aug 10 10:26 - 19:42  (09:16)
reductor pts/1        10.91.234.200    Mon Aug  9 13:02 - 19:29  (06:26)
reductor pts/1        10.91.234.200    Mon Aug  9 10:11 - 13:02  (02:51)
reductor pts/1        10.91.234.200    Fri Aug  6 13:03 - 01:29  (12:25)
reductor pts/3        10.91.234.200    Thu Aug  5 12:14 - 15:28  (03:14)
reductor pts/1        10.91.234.200    Thu Aug  5 10:02 - 22:45  (12:42)
reductor pts/6        10.91.234.200    Wed Aug  4 17:20 - 01:03  (07:43)
reductor pts/4        10.91.234.200    Wed Aug  4 16:16 - 00:59  (08:42)
reductor pts/2        10.50.16.61      Wed Aug  4 16:12 - 18:24  (02:12)
reductor pts/1        10.50.16.61      Wed Aug  4 15:56 - 18:21  (02:24)
reductor pts/8        10.50.16.61      Wed Aug  4 13:47 - 16:53  (03:06)
reductor pts/6        10.50.16.61      Wed Aug  4 13:32 - 15:50  (02:18)
reductor pts/5        10.50.16.61      Wed Aug  4 13:23 - 15:36  (02:12)
reductor pts/3        10.50.16.61      Wed Aug  4 12:56 - 15:16  (02:20)
reductor pts/4        10.91.234.200    Wed Aug  4 10:40 - 12:56  (02:15)
reductor pts/2        10.91.234.200    Wed Aug  4 10:35 - 14:10  (03:34)
reductor pts/1        10.91.234.200    Wed Aug  4 10:33 - 14:43  (04:09)
reductor pts/3        10.91.234.200    Tue Aug  3 10:47 - 19:03  (08:16)
reductor pts/1        10.91.234.200    Tue Aug  3 10:03 - 19:55  (09:52)
reductor pts/1        10.91.234.200    Mon Aug  2 10:17 - 00:22  (14:05)
reductor pts/1        10.91.234.200    Sun Aug  1 06:23 - 20:40  (14:17)

wtmp begins Sun Aug  1 06:23:10 2021
